latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.91089795343578,11.664404813200235,-2.8000000000000114,2022-10-08 14:01:18+02:00,138,0,24.0
55.91089786961675,11.664419062435627,-3.0,2022-10-08 14:01:20+02:00,138,0,24.0
55.91084866784513,11.664421493187547,-2.1999999999999886,2022-10-08 14:01:26+02:00,140,0,23.0
55.91082913801074,11.664411015808582,-1.3999999999999773,2022-10-08 14:01:29+02:00,140,0,23.0
55.91068882495165,11.66443725116551,-3.1999999999999886,2022-10-08 14:01:46+02:00,140,45,22.0
55.91065135784447,11.664458373561502,-3.8000000000000114,2022-10-08 14:01:49+02:00,142,47,22.0
55.91053795069456,11.664539342746139,-4.0,2022-10-08 14:01:57+02:00,145,71,21.0
55.91050174087286,11.664555771276355,-4.600000000000023,2022-10-08 14:01:59+02:00,148,71,21.0
55.910435523837805,11.664578150957823,-5.199999999999989,2022-10-08 14:02:02+02:00,151,72,20.0
55.91033267788589,11.664550490677357,-6.800000000000011,2022-10-08 14:02:10+02:00,148,68,19.0
55.91031666845083,11.66454236023128,-7.399999999999977,2022-10-08 14:02:11+02:00,153,68,19.0
55.91029697097838,11.664533475413918,-7.600000000000023,2022-10-08 14:02:12+02:00,153,68,19.0
55.91029697097838,11.664533475413918,-7.600000000000023,2022-10-08 14:02:13+02:00,149,68,19.0
55.910282135009766,11.664525344967842,-7.600000000000023,2022-10-08 14:02:15+02:00,150,0,19.0
55.910258665680885,11.664528110995889,-7.800000000000011,2022-10-08 14:02:17+02:00,147,0,19.0
55.9102388843894,11.664516795426607,-7.199999999999989,2022-10-08 14:02:20+02:00,143,0,18.0
55.910227401182055,11.664505815133452,-6.800000000000011,2022-10-08 14:02:21+02:00,142,0,18.0
55.91022270731628,11.664491314440966,-6.199999999999989,2022-10-08 14:02:23+02:00,142,61,18.0
55.91015053912997,11.66443046182394,-5.800000000000011,2022-10-08 14:02:28+02:00,141,61,18.0
55.91010837815702,11.66441973298788,-1.6000000000000227,2022-10-08 14:02:33+02:00,139,0,18.0
55.91006848029792,11.664414703845978,-2.3999999999999773,2022-10-08 14:02:36+02:00,139,63,17.0
55.90999295935035,11.664479495957494,-3.3999999999999773,2022-10-08 14:02:42+02:00,138,73,17.0
55.909979632124305,11.664522076025605,-3.3999999999999773,2022-10-08 14:02:44+02:00,141,74,17.0
55.909970831125975,11.664561303332448,-3.8000000000000114,2022-10-08 14:02:46+02:00,144,75,16.0
55.90995482169092,11.664746291935444,-2.8000000000000114,2022-10-08 14:02:52+02:00,147,75,16.0
55.90992724522948,11.664845449849963,-2.1999999999999886,2022-10-08 14:02:53+02:00,146,75,15.0
55.9098971541971,11.664967322722077,-2.3999999999999773,2022-10-08 14:02:56+02:00,149,76,15.0
55.9098694100976,11.665087770670652,-2.3999999999999773,2022-10-08 14:02:57+02:00,153,77,14.0
55.9098694100976,11.665087770670652,-2.3999999999999773,2022-10-08 14:02:58+02:00,157,77,14.0
55.90976455248892,11.665378622710705,0.0,2022-10-08 14:03:04+02:00,151,80,12.0
55.909637147560716,11.665599569678307,-0.8000000000000114,2022-10-08 14:03:12+02:00,154,80,11.0
55.90955877676606,11.665911711752415,-1.1999999999999886,2022-10-08 14:03:19+02:00,156,79,11.0
55.90958249755204,11.666004164144397,-0.8000000000000114,2022-10-08 14:03:22+02:00,156,78,11.0
55.90968509204686,11.666298871859908,0.39999999999997726,2022-10-08 14:03:29+02:00,158,79,11.0
